time,price,size,brs,title,link
2017-08-09 06:55:00,1190.0,830.0,2.0,Great 2 Bedroom next to LAMAR LIGHT RAIL  Avail September 64.9,/apa/d/great-2-bedroom-next-to-lamar/6253656640.html
2017-08-09 06:54:00,2100.0,2108.0,3.0,Remodeled bathrooms basement new windows and roof.,/apa/d/remodeled-bathrooms-basement/6223238334.html
2017-08-09 06:51:00,850.0,3457.0,4.0,FOR LEASE CREDIT PROBLEMS WE AID,/apa/d/for-lease-credit-problems-we/6237900514.html
2017-08-09 06:51:00,1770.0,750.0,1.0,Downtown / LoDo / Union Station  Luxury 1 Bd  LoDo / LoDo / LoHi,/apa/d/downtown-lodo-union-station/6256511143.html
2017-08-09 06:51:00,1849.0,667.0,1.0,IMMEDIATE move in  Near Linger Avanti  Sunnyside neighborhood,/apa/d/immediate-move-in-near-linger/6237505045.html
2017-08-09 06:51:00,2310.0,927.0,1.0, most luxury property  9th floor unit w/ balcony and gas stove ,/apa/d/most-luxury-property-9th/6237504531.html
2017-08-09 06:51:00,1710.0,805.0,1.0,1000 gift card  3 months free parking unbeatable deal and property,/apa/d/1000-gift-card-3-months-free/6230001420.html
2017-08-09 06:51:00,2067.0,661.0,1.0,luxury one bedroom with private fire pit and balcony overlooking dt ,/apa/d/luxury-one-bedroom-with/6235107066.html
2017-08-09 06:51:00,1320.0,760.0,1.0,minutes from downtown denver  quaint quiet community living,/apa/d/minutes-from-downtown-denver/6234992232.html
2017-08-09 06:51:00,1700.0,756.0,1.0,LODO  brand NEW community  now preleasing for the fall,/apa/d/lodo-brand-new-community-now/6234936057.html
2017-08-09 06:51:00,1349.0,649.0,1.0,DTC   1 bed / 1 bath  parking included in the price of rent ,/apa/d/dtc-1-bed-1-bath-parking/6235775706.html
2017-08-09 06:51:00,2107.0,1147.0,3.0,3 Bedroom w/ attached private garage  RARE  plus outdoor balcony,/apa/d/3-bedroom-attached-private/6235797666.html
2017-08-09 06:51:00,3750.0,,4.0,Beautiful Furnished Home  Perfect for Corporate  Avail for MidAug,/apa/d/beautiful-furnished-home/6247493681.html
2017-08-09 06:49:00,1636.0,925.0,1.0,Broomfield Townhome / Broomfield  1 Bd w. GARAGE  Broomfield ,/apa/d/broomfield-townhome/6256493820.html
2017-08-09 06:49:00,1610.0,704.0,1.0,Riverfront / Downtown / LoDo  Luxury 1 Bd  Union Station / LoHi,/apa/d/riverfront-downtown-lodo/6256509259.html
2017-08-09 06:48:00,2245.0,1384.0,2.0,LoDo / Union Station  Luxury 2 Bd 2 Ba  Ready NOVEMBER  Downtown,/apa/d/lodo-union-station-luxury-2/6256508796.html
2017-08-09 06:48:00,1515.0,1100.0,2.0,spacious wood burning fireplace carport included,/apa/d/spacious-wood-burning/6247260782.html
2017-08-09 06:48:00,1895.0,1068.0,2.0,2 Bedroom 2 Bathroom Denver Rental,/apa/d/2-bedroom-2-bathroom-denver/6256508362.html
2017-08-09 06:47:00,1290.0,1300.0,1.0,Capitol Hill Garden Level Apt in The Heart  of  Denver ,/apa/d/capitol-hill-garden-level-apt/6254045245.html
2017-08-09 06:46:00,2255.0,1074.0,2.0,Downtown / Union Station Luxury 2 Bd 2 Ba  Ready Now Immediate Move,/apa/d/downtown-union-station-luxury/6256506735.html
2017-08-09 06:46:00,2240.0,1623.0,2.0,LIVE IN THE HEART OF LODO HUGE 2 bedroom READY SEPTEMBER,/apa/d/live-in-the-heart-of-lodo/6256506417.html
2017-08-09 06:46:00,1100.0,600.0,2.0,2bdrm basement apt. 300 off Move In Quiet Community Call 4 tour,/apa/d/2bdrm-basement-apt-300-off/6223353970.html
2017-08-09 06:44:00,2477.0,1545.0,3.0,Broomfield / Superior  3 Bd 2 Ba  Ready September 7th  Broomfield,/apa/d/broomfield-superior-3-bd-2-ba/6256494422.html
2017-08-09 06:43:00,1250.0,800.0,2.0,Large 2 bdrm open kitchen patio Coming September Call 4 tour today,/apa/d/large-2-bdrm-open-kitchen/6223342694.html
2017-08-09 06:43:00,1660.0,999.0,2.0,Broomfield / Broomfield  2 Bd 2 Ba  Ready September 9th / Superior,/apa/d/broomfield-broomfield-2-bd-2/6256493254.html
2017-08-09 06:42:00,1795.0,1216.0,1.0,Best of Denver  Large 1 BR / 2 BA Governors Park,/apa/d/best-of-denver-large-1-br-2/6215659248.html
2017-08-09 06:42:00,1299.0,870.0,2.0,Two Renovated Resort Style Pools Package Receiving Large Closets,/apa/d/two-renovated-resort-style/6236852528.html
2017-08-09 06:42:00,1963.0,1166.0,2.0,Broomfield / Superior  2 Bd 2.5 Bath With GARAGE  Broomfield / I25,/apa/d/broomfield-superior-2-bd-25/6256492235.html
2017-08-09 06:41:00,700.0,1000.0,2.0,VERY NICE RENTAL AVAILABLE TODAY,/apa/d/very-nice-rental-available/6256476194.html
2017-08-09 06:40:00,1600.0,906.0,3.0,Spacious Three Bdrm COMING SOON 300 MI Call For tour today,/apa/d/spacious-three-bdrm-coming/6223279912.html
2017-08-09 06:38:00,2350.0,2700.0,3.0,Great Newer Home Loaded With Features R T O No Down,/apa/d/great-newer-home-loaded-with/6230774478.html
2017-08-09 06:38:00,4000.0,2250.0,3.0,Executive Furnished 3brm 2 bathDen  2 car plus Bronco FanCave,/apa/d/executive-furnished-3brm-2/6256498767.html
2017-08-09 06:35:00,1200.0,650.0,2.0,Quiet Spacious 2 bedroom flat All updated 300 Off M/I Call for a tour,/apa/d/quiet-spacious-2-bedroom-flat/6223270469.html
2017-08-09 06:34:00,2970.0,4019.0,4.0,Spacious RentalPurchase Option Available,/apa/d/spacious-rental-purchase/6227952382.html
